X,Y,osm_id,highway,surface,name,ref,tracktype,access,oneway,service,bridge,layer,lane_markings,maxspeed,lit,cycleway:both,sidewalk,maxspeed:type,shoulder,lanes,bus_bay,cycleway:right
1.5672335063284,43.4830856032365,668458857,path,grass,,,,,,,,,,,,,,,,,,
1.56709467268552,43.4837860261446,321703203,residential,asphalt,Rue des Saules,,,,,,,,no,50,yes,no,left,sign,,,,
1.56857479891272,43.4817886584683,23879461,residential,,Rue de Bonnefoy,,,,,,,,,,,,,,,,,
1.57152339600428,43.4825788568915,289046205,secondary,asphalt,Route de Baziège,D 16,,,,,,,,80,,no,,,no,2,,
1.57751037029904,43.4813160980258,130306074,track,,Chemin d'Envirol,,,,,,,,,,,,,,,,,
1.57731119697698,43.4831880213264,23952409,track,dirt,Chemin du Moulin,,grade3,,,,,,,,,,,,,,,
1.56027496714108,43.4850204211499,23805495,tertiary,asphalt,Route de Donneville,D 95,,,,,,,no,,yes,no,no,FR:urban,,,,
1.56454993488081,43.4857073132827,23866670,unclassified,asphalt,Rue du Chemin de Ronde,,,,,,,,no,50,,no,,sign,,,,
1.5656158223464,43.4866744918778,23866671,unclassified,asphalt,Rue de la Lyre,,,,,,,,no,,,no,,,,,,
1.5606707,43.48783925,117918380,service,,,,,,,,,,,,,,,,,,,
1.56235995187976,43.488994749562,117785201,tertiary,asphalt,Chemin des Feuillets,,,,,,,,no,,,no,,,,,,
1.5632031,43.4891693,23866660,service,,,,,private,,,,,,,,,,,,,,
1.56622229667388,43.4840719982958,668458393,path,grass,,,,,,,,,,,,,,,,,,
1.56548975,43.4844105,23866685,residential,asphalt,Avenue des Chênes,,,,,,,,,50,yes,no,,sign,,,,
1.566574,43.48533915,321703230,track,grass,,,grade4,,,,,,,,,,,,,,,
1.56599630578482,43.4860634527721,23866675,unclassified,asphalt,Rue du Fauconnier,,,,,,,,no,,,no,,,,,,
1.5673483,43.4857088,321703231,track,grass,,,grade4,,,,,,,,,,,,,,,
1.56844499121733,43.4865099090745,321703232,residential,asphalt,Rue Émile Page,,,,,,,,no,50,yes,no,both,sign,,,,
1.56675887734613,43.4873452795219,23866676,track,grass,,,grade4,,,,,,,,,,,,,,,
1.56617385,43.4876007,117912515,track,grass,,,grade4,,,,,,,,,,,,,,,
1.5659792,43.48791785,117912513,service,,,,,,,,,,,,,,,,,,,
1.56518997190872,43.4887434505451,23866667,unclassified,asphalt,Rue en Capel,,,,,,,,no,,,no,,,,,,
1.56939185032083,43.4876818987255,80664432,secondary,asphalt,Rue Saint-Lautier,D 16,,,,,,,,50,yes,no,,sign,,2,,
1.57116498101147,43.4868597925114,117624180,service,,Rue du Ganachou,,,,,,,,,,,,,,,,,
1.57005478635592,43.486941198849,23950163,unclassified,asphalt,Rue de l'Église,,,,,,,,no,,,no,,,,,,
1.56911259837376,43.4885793530318,1047196431,secondary,asphalt,Rue Saint-Lautier,D 16,,,,,,,,50,yes,no,,sign,,2,left,
1.56946435,43.48840125,889369609,tertiary,asphalt,,D 95,,,yes,,,,no,50,yes,no,separate,sign,,,,
1.56920421830399,43.4887171877855,1024171772,footway,,,,,,,,,,,,,,,,,,,
1.5687974,43.48919165,1047196432,secondary,asphalt,Rue Saint-Lautier,D 16,,,,,,,,50,yes,no,,sign,,2,,
1.56897805,43.4890418,844065504,service,asphalt,,,,,yes,parking_aisle,,,,,,,,,,,,
1.56929777243059,43.4892193372461,401595330,service,asphalt,,,,,yes,parking_aisle,,,,,,,,,,,,
1.5691163,43.4892554,401595331,service,asphalt,,,,,,parking_aisle,,,,,,,,,,,,
1.57010144119733,43.4884894040117,923036355,service,asphalt,,,,,yes,parking_aisle,,,,,,,,,,,,
1.57051165728118,43.4882884490556,23805498,tertiary,asphalt,,D 95,,,yes,,,,no,50,yes,no,left,sign,,,,
1.57098435,43.48840525,889369610,tertiary,asphalt,,D 95,,,yes,,,,no,50,yes,no,,sign,,,,
1.5706956,43.4887907,23805501,tertiary,asphalt,Rue du Château,,,,yes,,,,,50,,,,sign,,,,no
1.57042395,43.4891637,122426415,service,,,,,private,,,,,,,,,,,,,,
1.56047632275405,43.4915520252703,23866658,tertiary,asphalt,Allée des Barrots,,,,,,,,no,,,no,,,,,,
1.56391934654808,43.4926821035697,289046209,secondary,asphalt,Route de Toulouse,D 16,,,,,,,,50,no,no,,,,2,,
1.56612308414465,43.49071390008,23866669,unclassified,,,,,,,,,,,,,,,,,,,
1.5670093,43.4900439,23866668,unclassified,,,,,,,,,,,,,,,,,,,
1.56869545,43.4893926,117695221,secondary,asphalt,,D 16,,,,,,,,50,,no,,sign,,,,
1.56867465,43.4894334,117695222,secondary,asphalt,,D 16,,,,,yes,1,,50,,no,,sign,,,,
1.56864595,43.49011635,23950152,unclassified,gravel,Place Sol du Planties,,,,,,,,,,,no,,,,,,
1.56898955,43.49055705,23950158,service,gravel,Place Sol du Planties,,,,,,,,,,,no,,,,,,
1.5703118,43.4905651,289046204,residential,,Impasse En Foucaud,,,,,,,,,,,,,,,,,
1.57240650023593,43.4841208001016,23952395,unclassified,dirt,Chemin de Chabrousse,,,,,,,,,,,,,,,,,
1.5712042,43.48652815,117615663,service,,Rue du Ganachou,,,,,,,,,,,,,,,,,
1.57092255,43.48663995,117615012,unclassified,asphalt,Rue du Ganachou,,,,,,,,,,,,,,,,,
1.5719653,43.48660335,117615013,track,dirt,Chemin de l'Autan,,grade2,,,,,,,,,,,,,,,
1.5722019,43.48637375,117624181,footway,fine_gravel,Chemin de l'Autan,,,,,,,,,,yes,,,,,,,
1.57242245117444,43.4864283006669,23950168,unclassified,asphalt,Place de la Balmette,,,,yes,,,,no,,,,,,,,,no
1.57199919406953,43.4863315467169,875274851,unclassified,asphalt,Place de la Balmette,,,,yes,,,,no,,,,,,,,,no
1.57314804799566,43.4856959514183,117615011,track,dirt,Chemin de l'Autan,,grade4,,,,,,,,,,,,,,,
1.57521468617299,43.4851774744015,889369612,unclassified,asphalt,Chemin de Chabrousse,,,,,,,,no,,,no,,,,,,
1.57655280224805,43.4862307401143,889369611,unclassified,asphalt,Chemin de Chabrousse,,,,,,,,no,,,no,,,,,,
1.5714209,43.4870783,23950164,unclassified,asphalt,Chemin de l'Autan,,,,,,,,no,,,no,,,,,,
1.57117740545164,43.4877858489473,875274968,unclassified,asphalt,Rue de l'Église,,,,yes,,,,no,,,,,,,,,no
1.57403669557448,43.4870768663071,23950167,unclassified,,Rue de la Comtesse Jeanne,,,,,,,,,,,,,,,,,
1.57364754932684,43.4872205011863,23950169,service,,Rue de la Comtesse Jeanne,,,,,,,,,,,,,,,,,
1.57264933104394,43.4876878328457,23950160,unclassified,asphalt,Place Guillemette d'Alfaro,,,,,,,,,,,,,,,,,
1.5735442,43.4878509,34093259,tertiary,,Rue du Château,D 95,,,,,,,,,,,,,,,,
1.57367425,43.48792555,122426417,unclassified,,,,,,,,,,,,,,,,,,,
1.57188375170707,43.4888709028663,122426416,service,,,,,private,,,,,,,,,,,,,,
1.5723774,43.4880719,23950159,unclassified,,,,,,,,,,,,,,,,,,,
1.57212830478015,43.4884455863974,122426414,service,,,,,private,,,,,,,,,,,,,,
1.57386495,43.48867305,391911321,living_street,,Impasse du Pastel,,,,,,,,,,,,,,,,,
1.5737732,43.4890996,391911323,living_street,asphalt,Rue du Pastel,,,,,,,,,,,,,,,,,
1.57621915363289,43.4893271547312,23950179,unclassified,,Chemin d'Empressouyre,,,,,,,,,,,,,,,,,
1.57739272397621,43.4840158345345,130306080,service,,,,,private,,,,,,,,,,,,,,
1.57783759990136,43.4843416998036,117730384,service,asphalt,Chemin du Moulin,,,,,,,,,,,,,,,,,
1.57649445,43.4852908,23952401,unclassified,asphalt,Chemin de Faouria,,,,,,,,no,,,no,,,,,,
1.57926770028325,43.4846252001424,130306076,track,grass,Chemin de Faouria,,grade5,,,,,,,,,,,,,,,
1.57696842866165,43.4868668842647,889369613,tertiary,asphalt,Route de Ratabou,D 95,,,,,,,,,,no,,,,,,
1.57839782159585,43.4867585672101,23805508,tertiary,asphalt,Route de Ratabou,D 95,,,,,,,no,,,no,,,,,,
1.57107309620334,43.4897884350051,522483450,living_street,asphalt,Impasse des Mûriers,,,,,,,,,,yes,,,,,,,
1.57299257226096,43.4896735014567,391911319,living_street,asphalt,Allée des Coquelicots,,,,yes,,,,,,,,,,,,,
1.57304858035798,43.4894896826799,391911320,living_street,asphalt,Rue des Lilas,,,,,,,,,,,,,,,,,
1.57253754083322,43.4903968383977,391911317,living_street,asphalt,Chemin des Nonnes,,,,yes,,,,,,yes,,,,,,,
1.57047358793539,43.4908611397342,23950134,unclassified,asphalt,Rue en Foucaud,,,,,,,,no,,,no,,,,,,
1.5742363,43.48962165,391914128,living_street,asphalt,Impasse des Bleuets,,,,,,,,,,,,,,,,,
1.57498546547122,43.4898372632897,23950178,unclassified,asphalt,Rue de Fondargent,,,,,,,,no,,,no,,,,,,
1.57429935,43.4904181,391911316,living_street,asphalt,Allée des Bleuets,,,,yes,,,,,,yes,,,,,,,
1.57399365,43.49543215,23950113,unclassified,asphalt,Chemin du Roudou,,,,,,,,no,,,no,,,,,,
